Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
24-Feb-2026,24-Feb-2026,XX,"-","926.50","926.50","910.40","911.95","913.00","910.50",30082800,"27,63,35,57,820.00","27,63,35,57,820.00",13303400,-25739450
23-Feb-2026,24-Feb-2026,XX,"-","918.40","926.30","915.05","923.90","924.30","923.90",60239300,"55,56,28,21,765.00","55,56,28,21,765.00",39042850,-50142950
20-Feb-2026,24-Feb-2026,XX,"-","912.00","919.30","910.40","913.85","914.75","913.85",62701650,"57,40,92,44,255.00","57,40,92,44,255.00",89185800,-54641400
19-Feb-2026,24-Feb-2026,XX,"-","928.00","929.80","913.15","915.80","915.00","915.80",68442550,"62,99,51,94,927.50","62,99,51,94,927.50",143827200,-58068450
18-Feb-2026,24-Feb-2026,XX,"-","925.10","927.25","920.00","925.90","926.00","925.90",29092800,"26,87,44,17,900.00","26,87,44,17,900.00",201895650,-22168300
17-Feb-2026,24-Feb-2026,XX,"-","924.70","928.30","919.65","926.30","926.65","926.30",23604900,"21,85,02,33,240.00","21,85,02,33,240.00",224063950,-12779800
16-Feb-2026,24-Feb-2026,XX,"-","907.70","930.90","905.30","927.40","927.20","927.40",19809350,"18,31,07,05,435.00","18,31,07,05,435.00",236843750,-2683450
13-Feb-2026,24-Feb-2026,XX,"-","919.50","931.95","906.10","909.40","907.35","909.40",34437700,"31,63,52,44,822.50","31,63,52,44,822.50",239527200,6072550
12-Feb-2026,24-Feb-2026,XX,"-","930.10","931.00","922.25","924.10","924.00","924.10",22093500,"20,46,05,95,787.50","20,46,05,95,787.50",233454650,1447600
11-Feb-2026,24-Feb-2026,XX,"-","936.30","940.10","929.00","930.70","931.10","930.70",19204350,"17,91,10,95,812.50","17,91,10,95,812.50",232007050,1402500
10-Feb-2026,24-Feb-2026,XX,"-","934.00","944.80","932.90","935.80","936.30","935.80",16770600,"15,74,65,34,402.50","15,74,65,34,402.50",230604550,3050850
09-Feb-2026,24-Feb-2026,XX,"-","952.80","954.25","938.50","940.45","940.95","940.45",21329000,"20,10,05,57,867.50","20,10,05,57,867.50",227553700,1358500
06-Feb-2026,24-Feb-2026,XX,"-","947.90","951.20","941.60","944.30","944.90","944.30",13563550,"12,82,56,38,430.00","12,82,56,38,430.00",226195200,757900
05-Feb-2026,24-Feb-2026,XX,"-","956.00","957.70","950.75","952.35","951.90","952.35",7764900,"7,40,09,73,470.00","7,40,09,73,470.00",225437300,-1074150
04-Feb-2026,24-Feb-2026,XX,"-","954.00","959.85","951.00","955.75","953.40","955.75",17794700,"17,00,08,10,722.50","17,00,08,10,722.50",226511450,-953700
03-Feb-2026,24-Feb-2026,XX,"-","974.80","984.80","945.65","950.80","950.10","950.80",43289400,"41,34,61,24,352.50","41,34,61,24,352.50",227465150,-8345700
02-Feb-2026,24-Feb-2026,XX,"-","917.20","934.20","914.15","931.10","930.55","931.10",22794200,"21,16,80,97,500.00","21,16,80,97,500.00",235810850,2604800
01-Feb-2026,24-Feb-2026,XX,"-","936.00","944.00","917.20","925.85","922.00","925.85",23733600,"22,13,62,37,255.00","22,13,62,37,255.00",233206050,2432650
30-Jan-2026,24-Feb-2026,XX,"-","935.70","941.85","932.25","933.85","934.00","933.85",15928550,"14,91,04,08,535.00","14,91,04,08,535.00",230773400,-533500
