Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
26-Feb-2026,30-Mar-2026,XX,"-","917.15","917.75","902.75","905.50","903.00","905.50",19533800,"17,73,16,89,085.00","17,73,16,89,085.00",281576350,8283550
25-Feb-2026,30-Mar-2026,XX,"-","917.00","922.70","910.15","914.45","914.20","914.45",14278000,"13,08,58,32,485.00","13,08,58,32,485.00",273292800,2405700
24-Feb-2026,30-Mar-2026,XX,"-","930.55","931.55","916.25","917.35","918.00","917.35",44149600,"40,78,34,96,022.50","40,78,34,96,022.50",270887100,28109950
23-Feb-2026,30-Mar-2026,XX,"-","921.55","932.05","921.00","929.85","930.40","929.85",65093600,"60,42,22,12,565.00","60,42,22,12,565.00",242777150,52525000
20-Feb-2026,30-Mar-2026,XX,"-","918.00","925.00","916.05","919.65","920.05","919.65",68241250,"62,87,43,06,632.50","62,87,43,06,632.50",190252150,59233350
19-Feb-2026,30-Mar-2026,XX,"-","935.15","936.00","918.95","921.45","920.75","921.45",66047300,"61,17,76,77,412.50","61,17,76,77,412.50",131018800,57554200
18-Feb-2026,30-Mar-2026,XX,"-","932.55","933.05","927.00","931.80","931.60","931.80",27232150,"25,31,54,76,945.00","25,31,54,76,945.00",73464600,24400750
17-Feb-2026,30-Mar-2026,XX,"-","931.90","934.15","925.55","932.20","932.55","932.20",11211750,"10,44,67,59,510.00","10,44,67,59,510.00",49063850,8621250
16-Feb-2026,30-Mar-2026,XX,"-","909.80","937.00","909.80","933.05","933.00","933.05",4535850,"4,22,28,64,635.00","4,22,28,64,635.00",40442600,1768800
13-Feb-2026,30-Mar-2026,XX,"-","920.05","937.55","911.50","914.90","912.60","914.90",10935650,"10,07,04,09,195.00","10,07,04,09,195.00",38673800,6388250
12-Feb-2026,30-Mar-2026,XX,"-","933.00","937.05","927.90","929.30","929.85","929.30",3339600,"3,11,07,57,952.50","3,11,07,57,952.50",32285550,2389200
11-Feb-2026,30-Mar-2026,XX,"-","940.30","946.05","935.10","936.55","936.50","936.55",1647250,"1,54,50,27,055.00","1,54,50,27,055.00",29896350,977350
10-Feb-2026,30-Mar-2026,XX,"-","940.55","950.40","940.55","941.95","942.35","941.95",1767700,"1,67,03,23,600.00","1,67,03,23,600.00",28919000,1085150
09-Feb-2026,30-Mar-2026,XX,"-","959.65","959.75","944.70","946.50","947.15","946.50",1112650,"1,05,45,58,010.00","1,05,45,58,010.00",27833850,288200
06-Feb-2026,30-Mar-2026,XX,"-","954.15","956.80","947.55","950.30","950.50","950.30",840400,"79,95,74,682.50","79,95,74,682.50",27545650,256300
05-Feb-2026,30-Mar-2026,XX,"-","960.65","961.35","957.05","958.30","957.90","958.30",351450,"33,71,00,775.00","33,71,00,775.00",27289350,19250
04-Feb-2026,30-Mar-2026,XX,"-","956.50","965.65","956.50","961.35","959.60","961.35",1461350,"1,40,53,56,892.50","1,40,53,56,892.50",27270100,555500
03-Feb-2026,30-Mar-2026,XX,"-","968.00","990.00","952.40","957.20","956.50","957.20",2257200,"2,16,61,87,980.00","2,16,61,87,980.00",26714600,228250
02-Feb-2026,30-Mar-2026,XX,"-","922.00","939.90","920.00","937.20","935.70","937.20",1675850,"1,56,61,57,037.50","1,56,61,57,037.50",26486350,913550
01-Feb-2026,30-Mar-2026,XX,"-","940.00","950.30","922.70","931.35","927.05","931.35",2116400,"1,98,73,00,012.50","1,98,73,00,012.50",25572800,720500
30-Jan-2026,30-Mar-2026,XX,"-","943.15","947.50","938.60","939.90","940.00","939.90",514250,"48,45,00,665.00","48,45,00,665.00",24852300,13200
29-Jan-2026,30-Mar-2026,XX,"-","938.95","948.95","935.90","946.65","946.90","946.65",936100,"88,27,69,415.00","88,27,69,415.00",24839100,13200
28-Jan-2026,30-Mar-2026,XX,"-","941.95","950.70","937.85","942.25","942.00","942.25",1034550,"97,65,39,025.00","97,65,39,025.00",24825900,319550
27-Jan-2026,30-Mar-2026,XX,"-","926.00","942.95","917.45","938.60","939.40","938.60",1486650,"1,38,10,42,382.50","1,38,10,42,382.50",24506350,507100
23-Jan-2026,30-Mar-2026,XX,"-","929.90","937.25","921.35","927.60","926.30","927.60",656700,"60,98,42,337.50","60,98,42,337.50",23999250,232650
22-Jan-2026,30-Mar-2026,XX,"-","940.00","940.00","926.45","932.85","934.55","932.85",3175700,"2,95,35,29,700.00","2,95,35,29,700.00",23766600,2961200
21-Jan-2026,30-Mar-2026,XX,"-","942.35","944.80","928.00","933.35","934.35","933.35",726000,"67,98,14,960.00","67,98,14,960.00",20805400,383350
20-Jan-2026,30-Mar-2026,XX,"-","937.30","946.40","931.35","942.50","942.50","942.50",6981700,"6,58,18,00,472.50","6,58,18,00,472.50",20422050,6695150
19-Jan-2026,30-Mar-2026,XX,"-","947.10","948.35","930.30","939.65","937.80","939.65",1169300,"1,09,85,33,810.00","1,09,85,33,810.00",13726900,1053800
16-Jan-2026,30-Mar-2026,XX,"-","935.90","950.30","935.90","945.40","943.75","945.40",537350,"50,77,50,430.00","50,77,50,430.00",12673100,304150
14-Jan-2026,30-Mar-2026,XX,"-","948.00","954.15","935.10","939.90","940.05","939.90",440550,"41,60,87,182.50","41,60,87,182.50",12368950,286550
13-Jan-2026,30-Mar-2026,XX,"-","958.25","961.00","948.50","950.95","950.75","950.95",5878950,"5,60,92,22,217.50","5,60,92,22,217.50",12082400,5732650
12-Jan-2026,30-Mar-2026,XX,"-","954.00","957.60","944.60","953.35","952.00","953.35",2325950,"2,21,43,93,087.50","2,21,43,93,087.50",6349750,2196700
09-Jan-2026,30-Mar-2026,XX,"-","962.80","962.80","948.70","954.50","954.40","954.50",1929400,"1,84,21,24,157.50","1,84,21,24,157.50",4153050,1674200
08-Jan-2026,30-Mar-2026,XX,"-","962.40","967.30","957.70","962.45","962.80","962.45",534600,"51,47,81,987.50","51,47,81,987.50",2478850,390500
07-Jan-2026,30-Mar-2026,XX,"-","967.00","971.45","962.35","963.80","964.00","963.80",1633500,"1,57,69,66,600.00","1,57,69,66,600.00",2088350,1323300
06-Jan-2026,30-Mar-2026,XX,"-","980.00","985.25","974.95","978.90","979.00","978.90",343750,"33,68,01,135.00","33,68,01,135.00",765050,224950
05-Jan-2026,30-Mar-2026,XX,"-","1,014.00","1,014.00","991.05","992.05","992.80","992.05",412500,"41,28,05,910.00","41,28,05,910.00",540100,311850
02-Jan-2026,30-Mar-2026,XX,"-","1,013.50","1,019.10","1,012.05","1,017.05","1,017.40","1,017.05",99000,"10,05,36,727.50","10,05,36,727.50",228250,14300
01-Jan-2026,30-Mar-2026,XX,"-","1,012.55","1,014.00","1,006.65","1,007.40","1,007.30","1,007.40",211200,"21,31,47,935.00","21,31,47,935.00",213950,188650
31-Dec-2025,30-Mar-2026,XX,"-","1,011.00","1,012.80","1,006.70","1,009.30","1,008.90","1,009.30",47300,"4,77,07,660.00","4,77,07,660.00",25300,25300
